,volume,nfbs,tweet_count,positive_tweets_ratio,favorite_boosted_score,hype_score,target,predicted,date
1531,16391332,-489937,84,0.9404761904761905,157.0,171.0,0,1,02/15/2019
1532,11074067,549034,25,0.88,38.5,44.5,1,1,02/18/2019
1533,8101838,-289388,73,0.8904109589041096,48.5,121.5,0,0,02/19/2019
1534,7795800,88434,72,0.9305555555555556,118.0,130.0,1,1,02/20/2019
1535,6999497,522093,74,0.9054054054054054,90.0,115.0,0,1,02/21/2019
1536,8014816,17623,84,0.9285714285714286,102.5,114.5,1,1,02/22/2019
1537,10927222,1214274,55,0.9272727272727272,54.5,62.5,1,1,02/26/2019
1538,7430120,-250662,71,0.971830985915493,97.0,101.0,0,1,02/27/2019
1539,17584175,3724140,71,0.8591549295774648,62.5,89.5,0,0,02/28/2019
1540,8472549,-1643568,70,0.8285714285714286,54.0,93.0,0,0,03/01/2019
1541,6207319,80522,42,0.9047619047619048,38.0,46.0,1,1,03/04/2019
1542,6624980,-1275257,73,0.7808219178082192,53.5,97.5,0,0,03/05/2019
1543,6008268,272890,86,0.9069767441860465,85.0,118.0,1,1,03/06/2019
1544,5843805,565236,62,0.9516129032258065,87.0,94.0,1,1,03/07/2019
1545,5302989,60085,121,0.8677685950413223,143.0,184.0,0,1,03/08/2019
1546,5481917,-273476,56,0.9285714285714286,36.0,76.0,0,0,03/11/2019
1547,5702492,-348844,112,0.9017857142857143,161.0,187.0,1,0,03/12/2019
1548,5136291,-110505,126,0.9365079365079365,186.0,204.0,1,0,03/13/2019
1549,5599077,322874,121,0.9173553719008265,116.5,139.5,0,1,03/14/2019
1550,20792873,1811487,150,0.8333333333333334,153.5,215.5,1,1,03/15/2019
1551,5316352,406755,68,0.9558823529411765,112.5,118.5,1,1,03/18/2019
1552,5967758,-70344,95,0.9157894736842105,122.5,148.5,0,1,03/19/2019
1553,5460169,-370718,117,0.9658119658119658,136.5,144.5,1,1,03/20/2019
1554,5656535,147010,98,0.8061224489795918,84.0,137.0,1,1,03/21/2019
1555,7605665,1449492,112,0.9196428571428571,140.0,164.0,1,1,03/22/2019
1556,5394064,666904,48,0.9791666666666666,51.0,53.0,0,0,03/25/2019
1557,5388286,369805,88,0.9431818181818182,156.0,172.0,1,1,03/26/2019
1558,5597630,321883,59,0.9322033898305084,92.0,102.0,0,1,03/27/2019
1559,5086478,699007,72,0.9027777777777778,63.5,85.5,1,0,03/28/2019
1560,6678853,1588591,61,0.9672131147540983,127.0,131.0,1,1,03/29/2019
1561,5529413,29071,40,0.975,50.5,52.5,0,1,04/01/2019
1562,4792957,503889,60,0.95,124.0,130.0,1,1,04/02/2019
1563,6447259,2122430,78,0.8846153846153846,82.0,103.0,1,1,04/03/2019
1564,5909728,-243862,73,0.958904109589041,129.5,137.5,0,1,04/04/2019
1565,5041143,455773,83,0.8433734939759037,135.5,198.5,1,1,04/05/2019
1566,5400152,496593,55,0.9272727272727272,71.5,80.5,1,1,04/08/2019
1567,9828093,970644,66,0.9242424242424242,74.0,97.0,1,1,04/10/2019
1568,7290848,1120069,86,0.872093023255814,102.0,136.0,0,1,04/11/2019
1569,7030270,265282,95,0.9368421052631579,175.5,187.5,0,0,04/12/2019
1570,7868220,305940,53,0.9811320754716981,67.5,69.5,0,1,04/15/2019
1571,7142290,365971,60,0.9333333333333333,67.5,75.5,1,0,04/16/2019
1572,5446810,-63334,95,0.8631578947368421,84.0,112.0,1,0,04/17/2019
1573,6679703,1248779,17,0.9411764705882353,18.5,20.5,0,1,04/22/2019
1574,6603241,494664,64,0.90625,99.0,118.0,0,1,04/23/2019
1575,8101993,1848179,96,0.8958333333333334,98.5,157.5,1,1,04/24/2019
1576,6533079,48862,77,0.948051948051948,147.5,159.5,1,1,04/25/2019
1577,5723750,-249781,76,0.881578947368421,97.0,137.0,0,1,04/26/2019
1578,5805475,-42913,21,0.9047619047619048,25.0,30.0,1,0,04/29/2019
1579,6978906,413289,43,0.9302325581395349,71.5,79.5,1,0,04/30/2019
1580,8172394,293174,44,0.9090909090909091,112.5,121.5,1,1,05/02/2019
1581,8175063,-68157,122,0.860655737704918,204.5,291.5,0,0,05/03/2019
1582,6255139,-22230,27,0.9259259259259259,10.0,47.0,0,1,05/06/2019
1583,5508069,-7925,84,0.9166666666666666,217.5,246.5,1,1,05/07/2019
1584,7120771,-360932,100,0.87,168.5,200.5,1,0,05/08/2019
1585,9152193,-1625584,107,0.897196261682243,207.0,278.0,0,0,05/09/2019
1586,7551172,-688246,71,0.8309859154929577,62.0,108.0,0,0,05/10/2019
1587,11949100,-1456130,29,0.9655172413793104,30.0,33.0,0,0,05/14/2019
1588,7231389,-1159247,75,0.8533333333333334,171.5,212.5,0,0,05/15/2019
1589,8560106,-1853766,67,0.8507462686567164,64.0,98.0,0,0,05/16/2019
1590,8207374,-1386756,92,0.9021739130434783,185.0,233.0,1,0,05/17/2019
1591,4884206,-879564,24,1.0,30.5,30.5,1,0,05/20/2019
1592,5408253,-327803,67,0.8208955223880597,89.5,129.5,1,0,05/21/2019
1593,10137525,-3521991,50,0.88,60.5,87.5,1,0,05/22/2019
1594,7204806,-177409,74,0.9594594594594594,139.5,146.5,0,1,05/23/2019
1595,7420564,-736081,68,0.9117647058823529,91.5,103.5,0,0,05/24/2019
1596,5531182,-388977,35,0.8571428571428571,45.0,55.0,0,0,05/27/2019
1597,18022369,-632586,72,0.8333333333333334,77.5,137.5,1,0,05/28/2019
1598,6112340,-304865,80,0.9375,106.0,132.0,1,1,05/29/2019
1599,6568756,392499,63,0.8888888888888888,78.0,101.0,1,1,05/30/2019
1600,8489091,734414,115,0.8782608695652174,223.0,262.0,1,1,05/31/2019
1601,10022543,1427704,25,0.76,14.0,30.0,1,1,06/03/2019
1602,10553732,-737382,88,0.9318181818181818,171.5,187.5,0,0,06/04/2019
1603,7336840,-425287,62,0.9354838709677419,152.0,162.0,1,0,06/06/2019
1604,4239717,-573323,77,0.8961038961038961,74.0,103.0,1,0,06/07/2019
1605,7350899,1449690,36,0.9444444444444444,37.5,41.5,1,1,06/10/2019
1606,7778855,244022,90,0.9888888888888889,157.0,159.0,0,1,06/11/2019
1607,9103773,318980,55,0.9454545454545454,71.0,84.0,1,1,06/13/2019
1608,7678682,-388107,62,0.7580645161290323,35.0,132.0,0,0,06/14/2019
1609,5019706,-587427,20,0.9,22.0,26.0,0,0,06/17/2019
1610,7964480,173545,71,0.971830985915493,109.5,113.5,1,1,06/18/2019
1611,7304582,-26432,94,0.925531914893617,197.0,214.0,1,1,06/19/2019
1612,6741549,-588076,94,0.9148936170212766,134.5,162.5,1,0,06/20/2019
1613,9363602,-143983,87,0.9310344827586207,128.5,148.5,1,1,06/21/2019
1614,9046853,18569,36,1.0,44.0,44.0,1,1,06/24/2019
1615,6582409,-180566,57,0.9473684210526315,83.0,96.0,0,1,06/25/2019
1616,8128059,-573625,88,0.8977272727272727,103.0,149.0,0,0,06/26/2019
1617,8403827,-137937,65,0.9076923076923077,78.0,114.0,1,1,06/27/2019
1618,19560075,-6375311,75,0.9333333333333333,108.5,127.5,0,0,06/28/2019
1619,5311618,-234130,28,1.0,47.0,47.0,1,1,07/01/2019
1620,5934969,-145246,79,0.8987341772151899,125.0,148.0,1,1,07/02/2019
1621,7615642,273706,80,1.0,141.0,141.0,0,1,07/03/2019
1622,5058179,-216683,101,0.8613861386138614,84.0,137.0,0,1,07/04/2019
1623,5489938,-35374,69,0.927536231884058,181.0,198.0,1,0,07/05/2019
1624,5631455,-319029,43,0.9534883720930233,46.5,50.5,0,0,07/08/2019
1625,5894603,735118,71,0.8873239436619719,209.5,250.5,0,1,07/09/2019
1626,5357256,19395,81,0.9382716049382716,176.5,188.5,1,0,07/10/2019
1627,6093839,-253726,73,0.8493150684931506,103.5,163.5,1,1,07/11/2019
1628,6863581,419490,83,0.8674698795180723,234.5,275.5,0,1,07/12/2019
1629,8511989,1041103,29,0.9310344827586207,52.0,56.0,1,1,07/15/2019
1630,10491348,1179980,161,0.9254658385093167,245.5,339.5,0,1,07/16/2019
1631,5307276,384071,125,0.92,259.5,281.5,0,0,07/17/2019
1632,5601794,540715,64,0.96875,105.5,109.5,1,1,07/18/2019
1633,6740278,759814,99,0.9494949494949495,111.5,135.5,1,1,07/19/2019
1634,5985974,631988,35,0.9428571428571428,55.0,59.0,0,1,07/22/2019
1635,6721221,45641,79,0.9620253164556962,94.0,112.0,1,1,07/23/2019
1636,6438060,-542005,69,0.8985507246376812,66.5,99.5,0,0,07/24/2019
1637,8273755,124457,207,0.893719806763285,579.0,704.0,1,0,07/25/2019
1638,5903313,-278020,179,0.8938547486033519,353.0,502.0,0,0,07/26/2019
1639,4839633,-180741,32,0.96875,58.0,61.0,1,1,07/29/2019
